Treatment,Tank,Fragment,Picture,Time ,date,F0,Fm,YII
27,3,90,,9,2017-06-21,0.1985,0.3696,0.463
27,3,84,,9,2017-06-21,0.1549,0.3358,0.539
27,3,35,,9,2017-06-21,0.1877,0.3613,0.48
27,3,65,,9,2017-06-21,0.1358,0.3588,0.622
27,3,58,,9,2017-06-21,0.1436,0.323,0.555
27,3,62,,9,2017-06-21,0.1456,0.3475,0.581
27,3,31,,9,2017-06-21,0.1941,0.3647,0.468
27,3,30,,9,2017-06-21,0.1838,0.3348,0.451
26,4,94,,9,2017-06-21,0.1819,0.3206,0.433
26,4,1,,9,2017-06-21,0.1794,0.2941,0.39
26,4,16,,9,2017-06-21,0.1647,0.273,0.397
26,4,9,,9,2017-06-21,0.1588,0.2701,0.412
26,4,72,,9,2017-06-21,0.1912,0.2819,0.322
26,4,36,,9,2017-06-21,0.1544,0.274,0.436
26,4,51,,9,2017-06-21,0.1353,0.2225,0.392
26,4,67,,9,2017-06-21,0.1407,0.2118,0.336
26,4,17,,9,2017-06-21,0.1672,0.2892,0.422
26,4,50,,9,2017-06-21,0.1608,0.2623,0.387
26,4,61,,9,2017-06-21,0.1775,0.301,0.41
26,4,76,,9,2017-06-21,0.1593,0.2475,0.356
26,4,64,,9,2017-06-21,0.1765,0.2779,0.365
26,4,55,,9,2017-06-21,0.1627,0.2843,0.428
26,4,42,,9,2017-06-21,0.1686,0.2868,0.412
26,4,44,,9,2017-06-21,0.1672,0.3328,0.498
26,4,77,,9,2017-06-21,0.202,0.3216,0.372
26,4,56,,9,2017-06-21,0.1809,0.2618,0.309
26,4,13,,9,2017-06-21,0.1652,0.2544,0.351
26,4,127,,9,2017-06-21,0.1578,0.2583,0.389
29,2,87,,9,2017-06-21,0.1574,0.3578,0.56
29,2,54,,9,2017-06-21,0.1716,0.3985,0.569
29,2,23,,9,2017-06-21,0.1775,0.3794,0.532
29,2,38,,9,2017-06-21,0.1873,0.375,0.501
29,2,53,,9,2017-06-21,0.1574,0.4936,0.681
29,2,10,,9,2017-06-21,0.148,0.4574,0.676
29,2,33,,9,2017-06-21,0.1814,0.4971,0.635
29,2,39,,9,2017-06-21,0.1466,0.474,0.691
29,2,14,,9,2017-06-21,0.1618,0.4328,0.626
